label,message,message_2
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Иди до точки Джуронг, сумасшедший .. Доступно только в буфете Bugis n Great World La E ... Кинотеатр есть любовь ..."
0,Ok lar... Joking wif u oni...,"Хорошо, Лар... Шучу с тобой..."
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,"Бесплатное участие в 2-х еженедельных соревнованиях за победу в финале Кубка Англии 21 мая 2005 года. Отправьте сообщение FA на номер 87121, чтобы получить ответный вопрос (стандартная скорость отправки сообщений)."
0,U dun say so early hor... U c already then say...,U dun говорит так рано хор ... U c уже тогда говорят ...
0,"Nah I don't think he goes to usf, he lives around here though","Нет, я не думаю, что он ходит в USF, хотя он живет где-то здесь."
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, пїЅ1.50 to rcv","FreeMsg Привет, дорогая, прошло уже 3 недели, а ответа нет! Я хотел бы немного повеселиться вы для него все еще? Тб ок! XxX std chgs для отправки, ½ 1,50 для rcv"
0,Even my brother is not like to speak with me. They treat me like aids patent.,Даже мой брат не любит со мной разговаривать. Они относятся ко мне как к патенту на СПИД.
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"По вашему запросу «Melle Melle (Oru Minnaminunginte Nurungu Vettam)» была установлена ​​​​в качестве мелодии для всех вызывающих абонентов. Нажмите *9, чтобы скопировать Callertune ваших друзей"
1,WINNER!! As a valued network customer you have been selected to receivea пїЅ900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"ПОБЕДИТЕЛЬ!! Как ценный клиент сети, вы были выбраны для получения приза в размере 900 фунтов стерлингов! Чтобы подать заявку, позвоните по номеру 09061701461. Код заявки KL341. Действует только 12 часов."
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Был ли ваш мобильный 11 месяцев или больше? U R имеет право на бесплатное обновление до новейших цветных мобильных телефонов с камерой! Позвоните в компанию Mobile Update БЕСПЛАТНО по телефону 08002986030
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Я скоро буду дома и не хочу больше говорить об этом сегодня вечером, ладно? Я сегодня достаточно наплакался."
